NAME1,NAME2,TYPE,ID
ISIS-SINAI PROVINCE,WILAYAT SINAI,C,16763
ISIS-SINAI PROVINCE,ISLAMIC STATE IN THE SINAI,C,16763
ISIS-SINAI PROVINCE,ISIL SINAI PROVINCE,C,16763
ISIS-SINAI PROVINCE,ISLAMIC STATE OF IRAQ AND ASH-SHAM - SINAI PROVINCE,C,16763
ISIS-SINAI PROVINCE,ISLAMIC STATE OF IRAQ AND THE SHAM - SINAI PROVINCE,C,16763
ISIS-SINAI PROVINCE,WILAYAT SAYNA,C,16763
LILIANA ESQUENAZI M. & CIA. S. C. S.,JAIME EDERY C. & CIA. S. EN C.,C,16800
LILIANA ESQUENAZI M. & CIA. S. C. S.,LILIANA ESQUENAZI M. AND CIA. S. C. S.,C,16800
OOO VOLGA GROUP,VOLGA GROUP HOLDING LIMITED LIABILITY COMPANY,C,16806
OOO TRANSOIL,TRANSOIL SNG LIMITED COMPANY,C,16807
AQUANIKA,AQUANIKA LLC,C,16809
AQUANIKA,RUSSKOYE VREMYA LLC,C,16809
AQUANIKA,LLC RUSSKOYE VREMYA,C,16809
AQUANIKA,RUSSKOE VREMYA OOO,C,16809
AQUANIKA,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU RUSSKOE VREMYA,C,16809
INVESTCAPITALBANK,OPEN JOINT STOCK COMPANY INVESTCAPITALBANK,C,16810
INVESTCAPITALBANK,OJSC INVESTCAPITALBANK,C,16810
INVESTCAPITALBANK,INVESTKAPITALBANK,C,16810
CJSC ZEST,ZEST LEASING,C,16811
JSB SOBINBANK,SOBINBANK,C,16812
SAKHATRANS LLC,SAKHATRANS OOO,C,16824
SAKHATRANS LLC,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SAKHA (YAKUTSKAYA) TRANSPORTNAYA KOMPANIYA,C,16824
AVIA GROUP LLC,AVIA GROUP LTD,C,16825
STROYGAZMONTAZH,LIMITED LIABILITY COMPANY STROYGAZMONTAZH,C,16828
STROYGAZMONTAZH,STROYGAZMONTAZH CORPORATION,C,16828
SMP BANK,SMP BANK OPEN JOINT STOCK COMPANY,C,16829
SMP BANK,AKTSIONERNOYE OBSHCHESTVO BANK SEVERNY MORSKOY PUT,C,16829
SMP BANK,AO SMP BANK,C,16829
SMP BANK,"SMP BANK, AO",C,16829
STROYTRANSGAZ HOLDING,STG HOLDINGS LIMITED,C,16830
STROYTRANSGAZ HOLDING,STROYTRANSGAZ HOLDING LIMITED,C,16830
